model,repeat,fold,n_train_records,n_test_records,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_f1,roc_auc
gradient_boosting,1,3,223,56,133,32,0.7857142857142857,0.7797888386123679,0.7610241820768137,0.8212669683257918
logistic_regression,1,4,224,55,133,32,0.8,0.7577399380804954,0.7619047619047619,0.7848297213622291
svm_rbf,1,4,224,55,133,32,0.7818181818181819,0.7608359133126935,0.7522522522522522,0.8931888544891642
knn_7,1,4,224,55,133,32,0.6363636363636364,0.5905572755417956,0.587087087087087,0.6811145510835913
random_forest,1,4,224,55,133,32,0.7818181818181819,0.6958204334365325,0.7125435540069687,0.8831269349845201
extra_trees,1,4,224,55,133,32,0.8,0.7414860681114551,0.7529603919967334,0.9140866873065014
gradient_boosting,1,4,224,55,133,32,0.8,0.7739938080495357,0.7695238095238095,0.8343653250773994
logistic_regression,1,5,223,56,131,34,0.7142857142857143,0.7450980392156863,0.7005347593582887,0.8280542986425339
svm_rbf,1,5,223,56,131,34,0.8392857142857143,0.8348416289592759,0.8183783783783785,0.8838612368024132
knn_7,1,5,223,56,131,34,0.7857142857142857,0.7631975867269984,0.7543859649122806,0.7677224736048265
random_forest,1,5,223,56,131,34,0.9107142857142857,0.8861236802413273,0.8925968546221711,0.9622926093514328
extra_trees,1,5,223,56,131,34,0.9285714285714286,0.9155354449472096,0.9155354449472096,0.9577677224736048
gradient_boosting,1,5,223,56,131,34,0.9107142857142857,0.8861236802413273,0.8925968546221711,0.9321266968325792
logistic_regression,2,1,223,56,132,33,0.8214285714285714,0.7888386123680242,0.7888386123680242,0.8657616892911011
svm_rbf,2,1,223,56,132,33,0.8571428571428571,0.8310708898944192,0.8310708898944192,0.8657616892911011
knn_7,2,1,223,56,132,33,0.7678571428571429,0.7337858220211162,0.7298701298701299,0.8031674208144797
random_forest,2,1,223,56,132,33,0.7857142857142857,0.6802413273001509,0.6994633273703041,0.9374057315233786
extra_trees,2,1,223,56,132,33,0.7857142857142857,0.6802413273001509,0.6994633273703041,0.923076923076923
gradient_boosting,2,1,223,56,132,33,0.7857142857142857,0.7134238310708899,0.7268292682926829,0.8461538461538461
logistic_regression,2,2,223,56,131,34,0.6071428571428571,0.6349924585218703,0.5942028985507246,0.7360482654600302
svm_rbf,2,2,223,56,131,34,0.7678571428571429,0.8333333333333333,0.7617021276595746,0.889894419306184
knn_7,2,2,223,56,131,34,0.6964285714285714,0.7156862745098038,0.6791371755982474,0.744343891402715
random_forest,2,2,223,56,131,34,0.7857142857142857,0.7300150829562595,0.7375,0.8974358974358975
extra_trees,2,2,223,56,131,34,0.8392857142857143,0.7850678733031675,0.7992831541218638,0.8959276018099548
gradient_boosting,2,2,223,56,131,34,0.7321428571428571,0.7413273001508296,0.7114393679148059,0.8355957767722474
logistic_regression,2,3,223,56,133,32,0.7678571428571429,0.7337858220211162,0.7298701298701299,0.8144796380090498
svm_rbf,2,3,223,56,133,32,0.75,0.7209653092006033,0.7134502923976609,0.8868778280542987
knn_7,2,3,223,56,133,32,0.7678571428571429,0.7503770739064857,0.7376576576576577,0.8212669683257918
random_forest,2,3,223,56,133,32,0.7857142857142857,0.6968325791855203,0.7142857142857142,0.8898944193061841
extra_trees,2,3,223,56,133,32,0.8214285714285714,0.7390648567119156,0.7619047619047619,0.8220211161387632
gradient_boosting,2,3,223,56,133,32,0.7678571428571429,0.700603318250377,0.7100756670649144,0.7239819004524887
logistic_regression,2,4,223,56,132,33,0.5714285714285714,0.6257309941520468,0.5692307692307692,0.7587719298245614
svm_rbf,2,4,223,56,132,33,0.8214285714285714,0.8538011695906433,0.8128342245989304,0.8947368421052632
knn_7,2,4,223,56,132,33,0.7678571428571429,0.7997076023391813,0.7585406301824212,0.7880116959064327
random_forest,2,4,223,56,132,33,0.8214285714285714,0.8245614035087719,0.8055555555555556,0.8676900584795322
extra_trees,2,4,223,56,132,33,0.8214285714285714,0.8245614035087719,0.8055555555555556,0.8830409356725146
gradient_boosting,2,4,223,56,132,33,0.7321428571428571,0.7587719298245614,0.7213930348258706,0.8011695906432749
logistic_regression,2,5,224,55,132,33,0.7090909090909091,0.6594427244582044,0.6594427244582044,0.804953560371517
svm_rbf,2,5,224,55,132,33,0.7090909090909091,0.6269349845201238,0.6333333333333333,0.8761609907120742
knn_7,2,5,224,55,132,33,0.7454545454545455,0.6695046439628483,0.6791666666666667,0.8142414860681115
random_forest,2,5,224,55,132,33,0.7272727272727273,0.6238390092879257,0.6318607764390897,0.7902476780185759
extra_trees,2,5,224,55,132,33,0.7272727272727273,0.640092879256966,0.648786717752235,0.8243034055727554
gradient_boosting,2,5,224,55,132,33,0.6909090909090909,0.6137770897832817,0.6182115149040425,0.7167182662538699
logistic_regression,3,1,223,56,132,33,0.7321428571428571,0.691553544494721,0.6883116883116883,0.7767722473604826
svm_rbf,3,1,223,56,132,33,0.8035714285714286,0.7760180995475113,0.7714285714285714,0.8808446455505279
knn_7,3,1,223,56,132,33,0.8571428571428571,0.8476621417797888,0.8362573099415205,0.923076923076923
random_forest,3,1,223,56,132,33,0.8214285714285714,0.7390648567119156,0.7619047619047619,0.8453996983408748
extra_trees,3,1,223,56,132,33,0.8035714285714286,0.7428355957767723,0.754679410593389,0.7888386123680241
gradient_boosting,3,1,223,56,132,33,0.75,0.6711915535444948,0.6813008130081301,0.7782805429864253
logistic_regression,3,2,223,56,131,34,0.625,0.6798245614035088,0.6219864995178399,0.7748538011695907
svm_rbf,3,2,223,56,131,34,0.7321428571428571,0.7441520467836258,0.7168857431749243,0.8304093567251462
knn_7,3,2,223,56,131,34,0.6428571428571429,0.6637426900584795,0.6310935441370225,0.6637426900584795
random_forest,3,2,223,56,131,34,0.75,0.7134502923976609,0.7134502923976609,0.8179824561403509
extra_trees,3,2,223,56,131,34,0.7142857142857143,0.6871345029239766,0.6813655761024182,0.8157894736842105
gradient_boosting,3,2,223,56,131,34,0.8035714285714286,0.7675438596491229,0.7714285714285714,0.804093567251462
logistic_regression,3,3,223,56,133,32,0.5357142857142857,0.6003016591251885,0.5333333333333333,0.669683257918552
svm_rbf,3,3,223,56,133,32,0.75,0.7707390648567118,0.7333333333333334,0.7692307692307693
knn_7,3,3,223,56,133,32,0.7857142857142857,0.7797888386123679,0.7610241820768137,0.7692307692307692
random_forest,3,3,223,56,133,32,0.6785714285714286,0.6199095022624435,0.6199095022624435,0.7677224736048266
extra_trees,3,3,223,56,133,32,0.75,0.7043740573152337,0.7043740573152337,0.7820512820512822
gradient_boosting,3,3,223,56,133,32,0.6607142857142857,0.6900452488687783,0.6470978441127695,0.7164404223227753
logistic_regression,3,4,223,56,132,33,0.8392857142857143,0.7684766214177978,0.790610718737017,0.8235294117647058
svm_rbf,3,4,223,56,132,33,0.8571428571428571,0.8476621417797888,0.8362573099415205,0.9049773755656109
knn_7,3,4,223,56,132,33,0.7321428571428571,0.691553544494721,0.6883116883116883,0.7812971342383106
random_forest,3,4,223,56,132,33,0.8392857142857143,0.7352941176470589,0.7682758620689656,0.8386123680241327
extra_trees,3,4,223,56,132,33,0.8571428571428571,0.7812971342383107,0.8095238095238095,0.8770739064856712
gradient_boosting,3,4,223,56,132,33,0.8571428571428571,0.7978883861236803,0.8178861788617886,0.8265460030165912
logistic_regression,3,5,224,55,132,33,0.9090909090909091,0.8854489164086687,0.8917748917748918,0.9458204334365324
svm_rbf,3,5,224,55,132,33,0.7636363636363637,0.7639318885448916,0.7417840375586855,0.9024767801857585
knn_7,3,5,224,55,132,33,0.5636363636363636,0.586687306501548,0.5516304347826086,0.6447368421052632
random_forest,3,5,224,55,132,33,0.8909090909090909,0.8560371517027863,0.8677884615384616,0.9102167182662538
extra_trees,3,5,224,55,132,33,0.8727272727272727,0.826625386996904,0.8427929767251939,0.9272445820433436
gradient_boosting,3,5,224,55,132,33,0.8,0.7902476780185759,0.7760088855979267,0.8993808049535603
logistic_regression,4,1,223,56,132,33,0.6785714285714286,0.7046783625730995,0.6679841897233202,0.8114035087719299
svm_rbf,4,1,223,56,132,33,0.7321428571428571,0.7733918128654971,0.7250409165302782,0.9181286549707602
knn_7,4,1,223,56,132,33,0.7321428571428571,0.7587719298245614,0.7213930348258706,0.7945906432748538
