feature,importance
R5_std,0.0026590580969571395
R3_std,0.002633580257892062
left_right_asymmetry_index,0.0026307788573067576
R6_std,0.002621495943032387
R3_max,0.002606587730037842
L8_q75,0.0025696389672766984
L8_rms,0.002563681909461083
R_total_delta_min,0.0025605816862761884
left_right_absdiff_rms,0.0025506809048454855
L4_iqr,0.002550579509481453
R7_rms,0.002538815177050161
L6_rms,0.0025216197742547446
R8_mean,0.002518652140132559
L_total_delta_mean,0.0024877953970627053
R6_mean,0.0024650535314513122
left_right_absdiff_std,0.0024565245159593897
L_total_delta_q75,0.002444213007893664
left_right_diff_mean,0.002438817635841247
left_right_absdiff_iqr,0.002382354485481187
L5_rms,0.0023643778319232893
R8_rms,0.0023486620633514995
L3_cv,0.0023451281007108014
L_total_swing_duration_std,0.0023404829647236175
L7_max,0.0023298869529252736
L8_mean,0.002308723027044445
R8_iqr,0.0022928287936574638
R4_std,0.0022864547644874536
R4_mean,0.0022562831916842687
R4_max,0.002243225494935354
L2_iqr,0.0021576619344374098
R_total_stance_duration_mean,0.002133411380947672
left_right_absdiff_q25,0.0021114687124362957
sample_count,0.002098223867701705
L_total_q25,0.002088251898919779
L_total_delta_q25,0.002067133256017341
L2_q75,0.002052296750113906
L4_rms,0.0020296596671326326
both_total_rms,0.00200036032143272
R8_max,0.001993562071503902
both_total_q75,0.001987531991642246
L_total_swing_duration_cv,0.001977922466745229
both_total_median,0.0019587689283861323
L_total_rms,0.0019529550577658326
R4_rms,0.0019239614007567662
R_total_delta_q25,0.0019149486922517647
R2_median,0.0019088132449570456
both_total_q25,0.0018954135029139402
L_total_median,0.0018811149993148933
left_right_diff_max,0.0018697401399556687
L3_mean,0.001865286757233813
L2_rms,0.0018543681226246775
R_total_delta_mean,0.0018505712277411988
L3_max,0.0017825626871241132
L3_std,0.001782277791115941
R4_q75,0.0017467566978020667
R_total_delta_cv,0.0017385360747264784
L2_max,0.0017373163159648552
L_total_delta_cv,0.001735738416653527
left_right_absdiff_median,0.0016983970552106693
L2_std,0.0016816367965456517
left_right_diff_cv,0.0016645352122212453
R_total_max,0.001638775980012904
L8_iqr,0.0016245696024458193
L4_max,0.0016205452435244488
R_total_stance_count,0.0015763062655401636
L_total_mean,0.0015454286202162175
L2_mean,0.0015386774734938015
L4_std,0.0015280359053590385
L4_mean,0.0015196613145583284
L_total_q75,0.0014981615000595081
